"sid";"name";"email";"phone";"address";"city";"state";"zip"
210;"Crush - Cream Soda";"amackall0@linkedin.com";"502-832-4858";"4822 Forest Run Park";"Louisville";"KY";68923
213;"Cake Sheet Combo Party Pack";"ulowers1@homestead.com";"619-405-3455";"1 Kensington Lane";"San Diego";"CA";4865
216;"Thyme - Lemon, Fresh";"abrychan2@about.com";"505-654-9099";"8134 Larry Park";"Albuquerque";"NM";12891
219;"Yukon Jack";"tnorewood3@cpanel.net";"727-317-1196";"79420 Lindbergh Junction";"Largo";"FL";43860
222;"Salad Dressing";"tmorrish4@privacy.gov.au";"520-382-5269";"7406 Goodland Lane";"Tucson";"AZ";35626
225;"Icecream - Dstk Strw Chseck";"bneilus5@msu.edu";"918-573-8358";"2549 Blue Bill Park Plaza";"Tulsa";"OK";85541
228;"Brocolinni - Gaylan, Chinese";"glillo6@exblog.jp";"309-959-0143";"0 Butterfield Park";"Peoria";"IL";52671
230;"Wine - German Riesling";"bwicher7@forbes.com";"205-424-6332";"82957 Huxley Place";"Birmingham";"AL";26520
234;"Sprouts - Brussel";"cdrysdall8@ebay.com";"260-845-5957";"53199 West Crossing";"Fort Wayne";"IN";63765
236;"Grenadine";"atropman9@samsung.com";"915-403-3237";"31 Chinook Hill";"El Paso";"TX";32441
240;"Alize Sunset";"hlarwooda@pbs.org";"408-901-3225";"59242 Paget Lane";"San Jose";"CA";64018
